well,column,row_type,R,G,B
A1,1,control,147.3,39.2,42.3
B1,1,control,52.9,126.1,102.3
C1,1,control,10.2,65.8,170.2
D1,1,control,132.6,140.6,140.1
E1,1,experiment,58.9,40.2,83.7
F1,1,experiment,53.4,36.9,81.2
G1,1,experiment,64.5,46.8,89.6
H1,1,experiment,55.1,33.8,78.8
A2,2,control,143.0,145.6,140.0
B2,2,control,140.6,144.2,138.3
C2,2,control,139.0,143.1,139.6
D2,2,control,138.1,141.1,137.5
E2,2,experiment,54.8,48.7,130.6
F2,2,experiment,49.6,42.1,118.8
G2,2,experiment,61.2,51.2,121.7
H2,2,experiment,65.1,51.9,123.6
A3,3,control,134.7,140.0,140.3
B3,3,control,138.7,144.3,143.3
C3,3,control,138.6,143.8,142.8
D3,3,control,135.0,139.5,139.6
E3,3,experiment,151.7,71.1,76.3
F3,3,experiment,147.0,67.1,74.7
G3,3,experiment,155.5,76.9,84.3
H3,3,experiment,175.8,86.2,87.0
A4,4,control,135.8,142.0,135.7
B4,4,control,135.2,141.8,134.9
C4,4,control,132.8,138.9,132.7
D4,4,control,134.2,140.2,133.9
E4,4,experiment,54.2,37.5,78.0
F4,4,experiment,53.2,35.0,76.2
G4,4,experiment,61.6,44.5,84.4
H4,4,experiment,72.1,55.7,92.0
A5,5,control,135.7,137.2,137.2
B5,5,control,138.2,139.0,138.8
C5,5,control,138.5,139.2,138.7
D5,5,control,136.4,136.8,137.3
E5,5,experiment,62.3,36.5,81.3
F5,5,experiment,62.4,34.7,80.2
G5,5,experiment,62.6,37.0,85.4
H5,5,experiment,73.6,47.5,92.5
A6,6,control,131.0,136.2,137.4
B6,6,control,133.9,138.3,138.3
C6,6,control,132.2,136.4,137.3
D6,6,control,130.6,135.1,136.5
E6,6,experiment,94.2,45.2,76.4
F6,6,experiment,92.7,41.1,73.8
G6,6,experiment,86.9,40.1,72.7
H6,6,experiment,91.5,48.0,80.7
A7,7,control,126.0,130.3,128.8
B7,7,control,132.7,137.6,133.7
C7,7,control,131.2,135.8,132.6
D7,7,control,128.5,133.9,130.9
E7,7,experiment,20.9,196.7,201.7
F7,7,experiment,18.7,192.1,197.1
G7,7,experiment,38.7,137.6,157.8
H7,7,experiment,52.3,124.0,144.6
A8,8,control,130.5,133.3,132.7
B8,8,control,133.0,136.4,135.4
C8,8,control,134.3,137.2,136.2
D8,8,control,131.9,134.1,133.1
E8,8,experiment,119.2,41.6,66.4
F8,8,experiment,116.2,40.7,67.2
G8,8,experiment,113.7,37.1,64.5
H8,8,experiment,107.1,33.5,64.5
A9,9,control,130.4,131.5,133.1
B9,9,control,134.6,136.7,136.6
C9,9,control,136.3,136.3,136.8
D9,9,control,132.5,132.8,134.3
E9,9,experiment,46.1,69.4,155.6
F9,9,experiment,50.0,53.3,126.0
G9,9,experiment,47.2,53.3,126.2
H9,9,experiment,46.3,50.7,127.4
A10,10,control,126.3,133.5,136.0
B10,10,control,131.6,138.0,138.5
C10,10,control,130.3,136.6,137.4
D10,10,control,129.8,134.3,135.1
E10,10,experiment,240.8,66.0,81.5
F10,10,experiment,234.3,60.4,76.9
G10,10,experiment,232.7,59.2,76.9
H10,10,experiment,218.0,53.6,71.3
A11,11,control,124.9,129.6,129.3
B11,11,control,131.4,136.6,135.1
C11,11,control,132.2,136.4,135.7
D11,11,control,130.5,134.4,133.5
E11,11,experiment,132.8,69.2,89.4
F11,11,experiment,124.7,58.4,80.4
G11,11,experiment,119.0,54.5,79.3
H11,11,experiment,113.7,47.2,72.4
A12,12,control,127.2,131.6,129.0
B12,12,control,132.4,137.4,134.2
C12,12,control,133.5,138.3,135.0
D12,12,control,132.2,137.0,134.2
E12,12,experiment,27.3,140.3,255.0
F12,12,experiment,21.2,132.6,255.0
G12,12,experiment,16.2,129.2,255.0
H12,12,experiment,18.4,111.0,243.6
